,Quarter,Tm,Detail,WAS,BAL
0,1,Colts,Toni Linhart 26 yard field goal,0,3
1,2,Redskins,Mark Moseley 40 yard field goal,3,3
2,4,Colts,Freddie Scott 12 yard pass from Bert Jones (Toni Linhart kick),3,10
