,Quarter,Tm,Detail,DAL,NYG
0,2.0,Cowboys,Walt Garrison 1 yard rush (Efren Herrera kick),7,0
1,2.0,Cowboys,Drew Pearson 32 yard pass from Roger Staubach (Efren Herrera kick),14,0
2,3.0,Giants,Roy Hilton 71 yard defensive fumble return (Pete Gogolak kick),14,7
3,3.0,Cowboys,Golden Richards 46 yard pass from Drew Pearson (Efren Herrera kick),21,7
