,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,12:17,Bears,Devin Hester 48 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1.0,6:52,Bears,"Safety, Donovan McNabb sacked in end zone by Stephen Paea.",0,9
2,1.0,3:39,Bears,Marion Barber III 3 yard rush (Robbie Gould kick),0,16
3,2.0,12:37,Vikings,Ryan Longwell 37 yard field goal,3,16
4,2.0,6:41,Bears,Dane Sanzenbacher 13 yard pass from Jay Cutler (Robbie Gould kick),3,23
5,2.0,0:28,Bears,Robbie Gould 51 yard field goal,3,26
6,3.0,10:23,Vikings,Adrian Peterson 4 yard rush (Ryan Longwell kick),10,26
7,3.0,10:09,Bears,Devin Hester 98 yard kickoff return (Robbie Gould kick),10,33
8,3.0,5:44,Bears,Robbie Gould 26 yard field goal,10,36
9,4.0,14:50,Bears,Robbie Gould 22 yard field goal,10,39
