,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Dave Jacobs 28 yard field goal,3,0
1,2.0,Browns,Dave Jacobs 30 yard field goal,6,0
2,2.0,Browns,Ozzie Newsome 4 yard pass from Brian Sipe (Dave Jacobs kick),13,0
3,3.0,Bengals,Jim Breech 21 yard field goal,13,3
4,4.0,Bengals,Cris Collinsworth 41 yard pass from Ken Anderson (Jim Breech kick),13,10
5,4.0,Browns,Mike Pruitt 12 yard rush (Dave Jacobs kick),20,10
6,4.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),20,17
