,Quarter,Tm,Detail,NYJ,IND
0,1.0,Colts,Dean Biasucci 41 yard field goal,0,3
1,1.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),7,3
2,2.0,Jets,Chris Burkett 15 yard pass from Boomer Esiason (Cary Blanchard kick),14,3
3,2.0,Colts,Kerry Cash 3 yard pass from Jeff George (Dean Biasucci kick),14,10
4,2.0,Jets,Cary Blanchard 22 yard field goal,17,10
5,3.0,Jets,Chris Burkett 4 yard pass from Boomer Esiason (Cary Blanchard kick),24,10
6,3.0,Colts,Rodney Culver 1 yard rush (Dean Biasucci kick),24,17
7,4.0,Jets,Johnny Johnson 57 yard rush (Cary Blanchard kick),31,17
