,Quarter,Time,Tm,Detail,NYG,CHI
0,1.0,7:38,Bears,David Montgomery 28 yard pass from Mitchell Trubisky (Cairo Santos kick),0,7
1,1.0,4:40,Bears,Cairo Santos 34 yard field goal,0,10
2,2.0,0:24,Bears,Darnell Mooney 15 yard pass from Mitchell Trubisky (Cairo Santos kick),0,17
3,3.0,9:54,Giants,Graham Gano 39 yard field goal,3,17
4,4.0,14:22,Giants,Dion Lewis 1 yard rush (Graham Gano kick),10,17
5,4.0,7:47,Giants,Graham Gano 37 yard field goal,13,17
