,Quarter,Tm,Detail,NOR,PHI
0,1.0,Eagles,Sam Baker 21 yard field goal,0,3
1,2.0,Eagles,Ben Hawkins 10 yard pass from Norm Snead (Sam Baker kick),0,10
2,2.0,Saints,Danny Abramowicz 22 yard pass from Gary Cuozzo (Charlie Durkee kick),7,10
3,2.0,Eagles,Tom Woodeshick 5 yard rush (Sam Baker kick),7,17
4,2.0,Eagles,Jim Kelly 35 yard pass from Norm Snead (Sam Baker kick),7,24
5,2.0,Eagles,Tom Woodeshick 13 yard pass from Norm Snead (Sam Baker kick),7,31
6,3.0,Eagles,Ben Hawkins 19 yard pass from Norm Snead (Sam Baker kick),7,38
7,3.0,Eagles,Sam Baker 37 yard field goal,7,41
8,4.0,Eagles,Izzy Lang 15 yard pass from King Hill (Sam Baker kick),7,48
9,4.0,Saints,Don McCall 11 yard pass from Billy Kilmer (Charlie Durkee kick),14,48
10,4.0,Saints,Danny Abramowicz 1 yard pass from Billy Kilmer (Ted Davis kick),21,48
