,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Toni Fritsch 13 yard field goal,3,0
1,1.0,Cowboys,Ron Sellers 39 yard pass from Craig Morton (Toni Fritsch kick),10,0
2,2.0,Cowboys,Toni Fritsch 12 yard field goal,13,0
3,2.0,Redskins,Larry Brown 19 yard pass from Sonny Jurgensen (Curt Knight kick),13,7
4,3.0,Cowboys,Walt Garrison 1 yard rush (Toni Fritsch kick),20,7
5,3.0,Redskins,Larry Brown 34 yard rush (Curt Knight kick),20,14
6,3.0,Redskins,Curt Knight 42 yard field goal,20,17
7,4.0,Redskins,Charlie Harraway 13 yard rush (Curt Knight kick),20,24
