,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Eric Schubert 47 yard field goal,0,3
1,2.0,Giants,Mark Bavaro 18 yard pass from Phil Simms (Eric Schubert kick),0,10
2,2.0,49ers,Ray Wersching 21 yard field goal,3,10
3,3.0,Giants,Don Hasselbeck 3 yard pass from Phil Simms (Eric Schubert kick),3,17
