,Quarter,Tm,Detail,OAK,NWE
0,1.0,Patriots,Andy Johnson 2 yard rush (John Smith kick),0,7
1,2.0,Patriots,Darryl Stingley 21 yard pass from Steve Grogan (John Smith kick),0,14
2,2.0,Raiders,Fred Biletnikoff 15 yard pass from Ken Stabler (Fred Steinfort kick),7,14
3,2.0,Patriots,Marlin Briscoe 16 yard pass from Steve Grogan (John Smith kick),7,21
4,2.0,Raiders,Fred Steinfort 44 yard field goal,10,21
5,3.0,Patriots,Darryl Stingley 15 yard pass from Steve Grogan (John Smith kick),10,28
6,3.0,Patriots,Steve Grogan 2 yard rush (John Smith kick),10,35
7,4.0,Patriots,Steve Grogan 10 yard rush (John Smith kick),10,42
8,4.0,Patriots,Jess Phillips 11 yard rush,10,48
9,4.0,Raiders,Mike Rae 1 yard rush (Fred Steinfort kick),17,48
