,Quarter,Tm,Detail,NOR,RAM
0,2.0,Saints,Dalton Hilliard 4 yard rush (Morten Andersen kick),7,0
1,2.0,Rams,Mike Lansford 23 yard field goal,7,3
2,3.0,Saints,Rueben Mayes 3 yard rush (Morten Andersen kick),14,3
3,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),14,10
