,Quarter,Tm,Detail,PHI,TAM
0,1.0,Buccaneers,Ricky Bell 4 yard rush (Neil O'Donoghue kick),0,7
1,2.0,Buccaneers,Neil O'Donoghue 40 yard field goal,0,10
2,2.0,Buccaneers,Ricky Bell 1 yard rush (Neil O'Donoghue kick),0,17
3,2.0,Eagles,Charlie Smith 11 yard pass from Ron Jaworski (Tony Franklin kick),7,17
4,3.0,Eagles,Tony Franklin 42 yard field goal,10,17
5,4.0,Buccaneers,Jimmie Giles 9 yard pass from Doug Williams (Neil O'Donoghue kick),10,24
6,4.0,Eagles,Harold Carmichael 37 yard pass from Ron Jaworski (Tony Franklin kick),17,24
