,Quarter,Tm,Detail,TAM,HOU
0,1.0,Oilers,Tony Zendejas 30 yard field goal,0,3
1,1.0,Buccaneers,Donald Igwebuike 21 yard field goal,3,3
2,2.0,Oilers,Drew Hill 12 yard pass from Warren Moon (Tony Zendejas kick),3,10
3,2.0,Oilers,Tony Zendejas 37 yard field goal,3,13
4,2.0,Oilers,Curtis Duncan 16 yard pass from Warren Moon (Tony Zendejas kick),3,20
5,3.0,Buccaneers,Willie Drewrey 6 yard pass from Vinny Testaverde (Donald Igwebuike kick),10,20
6,4.0,Buccaneers,Ron Hall 24 yard pass from Vinny Testaverde (Donald Igwebuike kick),17,20
