,Quarter,Time,Tm,Detail,WAS,BUF
0,1.0,,Redskins,Terry Allen 1 yard rush (Scott Blanton kick),7,0
1,2.0,,Bills,Thurman Thomas 10 yard rush (Steve Christie kick),7,7
2,2.0,,Bills,Steve Christie 33 yard field goal,7,10
3,2.0,,Bills,Darick Holmes 3 yard rush (Steve Christie kick),7,17
4,3.0,,Bills,Darick Holmes 5 yard rush (Steve Christie kick),7,24
5,3.0,,Bills,Jim Kelly 4 yard rush (Steve Christie kick),7,31
6,4.0,,Redskins,Terry Allen 1 yard rush (pass failed),13,31
7,4.0,,Bills,Darick Holmes 13 yard rush (Steve Christie kick),13,38
