,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,10:24,Packers,Greg Jennings 25 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,2.0,12:09,Buccaneers,Alex Smith 9 yard pass from Brian Griese (Matt Bryant kick),7,7
2,2.0,6:43,Buccaneers,Matt Bryant 23 yard field goal,7,10
3,2.0,1:07,Buccaneers,Matt Bryant 36 yard field goal,7,13
4,3.0,6:00,Buccaneers,Jermaine Phillips 38 yard defensive fumble return (Matt Bryant kick),7,20
5,3.0,1:46,Packers,Greg Jennings 48 yard pass from Aaron Rodgers (Mason Crosby kick),14,20
6,4.0,13:43,Packers,Charles Woodson 62 yard interception return (Mason Crosby kick),21,20
7,4.0,2:26,Buccaneers,Matt Bryant 24 yard field goal,21,23
8,4.0,1:56,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),21,30
