,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Raul Allegre 47 yard field goal,0,3
1,1.0,Giants,Lionel Manuel 11 yard pass from Phil Simms (Raul Allegre kick),0,10
2,2.0,Giants,Joe Morris 1 yard rush (Raul Allegre kick),0,17
