,Quarter,Tm,Detail,BUF,MIA
0,1.0,Bills,Ronnie Harmon 16 yard pass from Jim Kelly (Scott Norwood kick),7,0
1,2.0,Bills,Scott Norwood 30 yard field goal,10,0
2,2.0,Dolphins,Mark Clayton 4 yard pass from Dan Marino,10,6
3,3.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),17,6
4,3.0,Bills,Ronnie Harmon 6 yard rush (Scott Norwood kick),24,6
5,4.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),31,6
