,Quarter,Tm,Detail,NYG,PRT
0,2.0,Giants,Benny Friedman 8 yard rush (Benny Friedman kick),7,0
1,2.0,Giants,Tiny Feather 1 yard rush,13,0
2,4.0,Spartans,Vin Schleusner fumble recovery in end zone,13,6
3,4.0,Giants,Hap Moran 3 yard rush,19,6
