,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),7,0
1,1.0,Chargers,Rod Bernstine 2 yard rush (John Carney kick),7,7
2,2.0,Chiefs,Robb Thomas 11 yard pass from Steve DeBerg (Nick Lowery kick),14,7
3,3.0,Chargers,John Carney 26 yard field goal,14,10
4,4.0,Chargers,John Carney 37 yard field goal,14,13
