,Quarter,Time,Tm,Detail,SFO,KAN
0,1.0,,Chiefs,Joe Valerio 1 yard pass from Joe Montana (Lin Elliott kick),0,7
1,2.0,3:35,49ers,Brent Jones 5 yard pass from Steve Young (Doug Brien kick),7,7
2,2.0,3:35,49ers,Marc Logan 1 yard rush (Doug Brien kick),14,7
3,2.0,3:35,Chiefs,"Safety, Thomas tackled Young in end zone",14,9
4,3.0,3:35,Chiefs,Keith Cash 8 yard pass from Joe Montana (J.J. Birden pass from Joe Montana),14,17
5,3.0,3:35,Chiefs,Marcus Allen 4 yard rush (Lin Elliott kick),14,24
6,4.0,3:35,49ers,Doug Brien 19 yard field goal,17,24
