,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Bob McChesney 18 yard pass from Frank Gifford (Ray Poole kick),7,0
1,1.0,Eagles,John Brewer 71 yard rush (Bobby Walston kick),7,7
2,2.0,Giants,Joe Scott 30 yard rush (Ray Poole kick),14,7
3,2.0,Giants,Bill Stribling 20 yard pass from Charlie Conerly (Ray Poole kick),21,7
4,3.0,Giants,Joe Scott 10 yard rush (Ray Poole kick),28,7
5,4.0,Giants,Ray Poole 16 yard field goal,31,7
