,Quarter,Time,Tm,Detail,SDG,OAK
0,2.0,,Raiders,Tim Brown 5 yard pass from Jeff Hostetler (Cole Ford kick),0,7
1,2.0,,Chargers,Shawn Jefferson 39 yard pass from Stan Humphries (John Carney kick),7,7
2,3.0,,Raiders,Cole Ford 46 yard field goal,7,10
3,3.0,,Raiders,Napoleon Kaufman 16 yard rush (Cole Ford kick),7,17
