,Quarter,Tm,Detail,PHI,BKN
0,2.0,Dodgers,Ralph Kercheval 38 yard field goal,0,3
1,2.0,Dodgers,Mark Temple 5 yard rush,0,9
2,3.0,Dodgers,Ralph Kercheval 21 yard field goal,0,12
3,3.0,Dodgers,Bobby Wilson 2 yard rush,0,18
