,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,,Chargers,John Carney 22 yard field goal,0,3
1,1.0,,Chargers,John Carney 39 yard field goal,0,6
2,2.0,,Chargers,John Carney 37 yard field goal,0,9
3,2.0,,Broncos,Leonard Russell 3 yard rush (Jason Elam kick),7,9
4,2.0,,Chargers,John Carney 26 yard field goal,7,12
5,3.0,,Broncos,Shannon Sharpe 43 yard pass from John Elway (Jason Elam kick),14,12
6,4.0,,Chargers,John Carney 44 yard field goal,14,15
7,4.0,,Broncos,Jason Elam 54 yard field goal,17,15
8,4.0,,Broncos,Jason Elam 25 yard field goal,20,15
