,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Ray Poole 20 yard field goal,0,3
1,2.0,Giants,Joe Scott 13 yard rush (Ray Poole kick),0,10
2,2.0,Cardinals,Charley Trippi 18 yard pass from Frank Tripucka (Pat Harder kick),7,10
3,2.0,Giants,Gene Roberts 62 yard rush (Ray Poole kick),7,17
4,2.0,Giants,Dick Woodard fumble recovery in end zone (Ray Poole kick),7,24
5,3.0,Giants,Bill Swiacki 38 yard pass from Charlie Conerly (Ray Poole kick),7,31
6,3.0,Cardinals,Fran Polsfoot 34 yard pass from Frank Tripucka (Pat Harder kick),14,31
7,3.0,Giants,Gene Roberts 35 yard rush,14,37
8,4.0,Cardinals,Bob Shaw 17 yard pass from Jim Hardy (Pat Harder kick),21,37
9,4.0,Giants,Bob McChesney 38 yard pass from Charlie Conerly (Ray Poole kick),21,44
10,4.0,Giants,Jim Ostendarp 21 yard rush (Ray Poole kick),21,51
