,Quarter,Tm,Detail,PHI,CLE
0,1,Browns,Warren Lahr 30 yard interception return (Lou Groza kick),0,7
1,2,Browns,Lou Groza 35 yard field goal,0,10
2,3,Browns,Lou Groza 43 yard field goal,0,13
3,4,Eagles,Jim Parmer 2 yard rush (Cliff Patton kick),7,13
