,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Jets,Rich Caster 23 yard pass from Bob Davis (Bobby Howfield kick),7,0
1,2.0,Chargers,John Hadl 2 yard rush (Dennis Partee kick),7,7
2,2.0,Jets,John Riggins 31 yard pass from Bob Davis (Bobby Howfield kick),14,7
3,2.0,Chargers,Mike Montgomery 37 yard pass from John Hadl (Dennis Partee kick),14,14
4,2.0,Chargers,Billy Parks 17 yard pass from John Hadl (Dennis Partee kick),14,21
5,3.0,Jets,Emerson Boozer 6 yard rush (Ralph Baker pass from Bob Davis),21,21
6,3.0,Chargers,Gary Garrison 49 yard pass from John Hadl (Dennis Partee kick),21,28
7,4.0,Chargers,Mike Montgomery 13 yard rush (Dennis Partee kick),21,35
8,4.0,Chargers,Pettis Norman 21 yard pass from John Hadl (Dennis Partee kick),21,42
9,4.0,Chargers,Chris Fletcher 36 yard interception return (Dennis Partee kick),21,49
