,Quarter,Tm,Detail,GNB,WAS
0,1.0,Packers,Chester Marcol 51 yard field goal,3,0
1,2.0,Redskins,Larry Brown 2 yard rush (Curt Knight kick),3,7
2,2.0,Redskins,Jerry Smith 25 yard pass from Billy Kilmer (Curt Knight kick),3,14
3,2.0,Packers,Chester Marcol 37 yard field goal,6,14
4,4.0,Packers,MacArthur Lane 6 yard rush (Chester Marcol kick),13,14
5,4.0,Redskins,Charley Taylor 5 yard pass from Billy Kilmer (Curt Knight kick),13,21
6,4.0,Packers,Chester Marcol 39 yard field goal,16,21
