,Quarter,Time,Tm,Detail,HOU,KAN
0,1.0,11:53,Chiefs,Tyreek Hill 46 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
1,1.0,10:24,Chiefs,Harrison Butker 41 yard field goal,0,10
2,1.0,5:50,Texans,Ka'imi Fairbairn 44 yard field goal,3,10
3,1.0,1:36,Chiefs,Damien Williams 14 yard pass from Patrick Mahomes (Harrison Butker kick),3,17
4,2.0,12:22,Texans,Duke Johnson 11 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),9,17
5,2.0,3:10,Texans,Carlos Hyde 2 yard rush (Ka'imi Fairbairn kick),16,17
6,2.0,0:23,Texans,Deshaun Watson 3 yard rush (Ka'imi Fairbairn kick),23,17
7,3.0,6:36,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),23,24
8,4.0,6:24,Texans,Deshaun Watson 1 yard rush (DeAndre Hopkins pass from Deshaun Watson ),31,24
