,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Jamie Williams 5 yard pass from Warren Moon (Tony Zendejas kick),0,7
1,1.0,Oilers,Tony Zendejas 42 yard field goal,0,10
2,2.0,Oilers,Tony Zendejas 25 yard field goal,0,13
3,2.0,Oilers,Ray Wallace 1 yard rush,0,19
4,3.0,Oilers,Ray Wallace 1 yard rush (Tony Zendejas kick),0,26
5,3.0,Bengals,Larry Kinnebrew 29 yard pass from Ken Anderson (Jim Breech kick),7,26
6,3.0,Oilers,Tony Zendejas 30 yard field goal,7,29
7,3.0,Bengals,James Brooks 39 yard pass from Boomer Esiason (Jim Breech kick),14,29
8,4.0,Bengals,James Brooks 8 yard pass from Boomer Esiason (Jim Breech kick),21,29
9,4.0,Bengals,Anthony Munoz 5 yard pass from Boomer Esiason (Jim Breech kick),28,29
10,4.0,Oilers,Tony Zendejas 46 yard field goal,28,32
