,Quarter,Time,Tm,Detail,DEN,NWE
0,1.0,7:27,Patriots,Kevin Faulk 15 yard rush (Adam Vinatieri kick),0,7
1,1.0,2:37,Patriots,Adam Vinatieri 28 yard field goal,0,10
2,2.0,11:11,Broncos,Jason Elam 40 yard field goal,3,10
3,2.0,7:52,Broncos,Rod Smith 28 yard pass from Brian Griese (Jason Elam kick),10,10
4,2.0,0:26,Patriots,Terry Allen 1 yard rush (Adam Vinatieri kick),10,17
5,3.0,11:33,Broncos,Jason Elam 28 yard field goal,13,17
6,3.0,8:25,Patriots,Terry Allen 1 yard rush (Adam Vinatieri kick),13,24
7,4.0,14:15,Broncos,Brian Griese 7 yard rush (Jason Elam kick),20,24
8,4.0,6:10,Broncos,Jason Elam 30 yard field goal,23,24
