,Quarter,Time,Tm,Detail,TAM,LAR
0,1.0,10:57,Buccaneers,Peyton Barber 3 yard rush (Matt Gay kick),7,0
1,2.0,10:04,Buccaneers,Chris Godwin 3 yard pass from Jameis Winston (Matt Gay kick),14,0
2,2.0,8:35,Buccaneers,Chris Godwin 9 yard pass from Jameis Winston (Matt Gay kick),21,0
3,2.0,5:41,Rams,Todd Gurley 13 yard rush (Greg Zuerlein kick),21,7
4,2.0,2:55,Rams,Gerald Everett 5 yard pass from Jared Goff (Greg Zuerlein kick),21,14
5,2.0,0:52,Buccaneers,Ronald Jones II 5 yard rush (Matt Gay kick),28,14
6,2.0,0:07,Rams,Greg Zuerlein 58 yard field goal,28,17
7,3.0,9:08,Rams,Greg Zuerlein 44 yard field goal,28,20
8,3.0,4:38,Buccaneers,Matt Gay 58 yard field goal,31,20
9,4.0,15:00,Buccaneers,Cameron Brate 13 yard pass from Jameis Winston (Matt Gay kick),38,20
10,4.0,12:37,Rams,Todd Gurley 5 yard rush (Greg Zuerlein kick),38,27
11,4.0,11:48,Buccaneers,Mike Evans 67 yard pass from Jameis Winston (Matt Gay kick),45,27
12,4.0,9:21,Rams,Cooper Kupp 29 yard pass from Jared Goff (Greg Zuerlein kick),45,34
13,4.0,8:25,Rams,Marcus Peters 32 yard interception return (pass failed),45,40
14,4.0,2:37,Buccaneers,Matt Gay 21 yard field goal,48,40
15,4.0,1:17,Buccaneers,Ndamukong Suh 37 yard fumble return (Matt Gay kick),55,40
