,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,9:46,Buccaneers,Adam Humphries 3 yard pass from Jameis Winston (Cairo Santos kick),0,7
1,1.0,6:41,Buccaneers,Cairo Santos 35 yard field goal,0,10
2,1.0,4:14,Panthers,Christian McCaffrey 8 yard pass from Cam Newton (Graham Gano kick),7,10
3,2.0,0:13,Buccaneers,Chris Godwin 13 yard pass from Jameis Winston (Cairo Santos kick),7,17
4,3.0,10:58,Panthers,Graham Gano 37 yard field goal,10,17
5,3.0,7:23,Buccaneers,Peyton Barber 1 yard rush (Cairo Santos kick),10,24
6,3.0,2:24,Panthers,Devin Funchess 10 yard pass from Cam Newton (Graham Gano kick),17,24
