,Quarter,Tm,Detail,BUF,KAN
0,2.0,Bills,Perry Tuttle 17 yard pass from Joe Ferguson (Joe Danelo kick),7,0
1,2.0,Chiefs,Nick Lowery 48 yard field goal,7,3
2,3.0,Chiefs,Nick Lowery 25 yard field goal,7,6
3,4.0,Bills,Mike Kennedy 22 yard interception return (Joe Danelo kick),14,6
4,4.0,Chiefs,Nick Lowery 42 yard field goal,14,9
