,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,11:25,Packers,Jermichael Finley 6 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,2.0,12:00,Packers,Jermichael Finley 7 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
2,2.0,8:12,Bears,Dane Sanzenbacher 4 yard pass from Jay Cutler (Robbie Gould kick),14,7
3,2.0,1:51,Packers,Mason Crosby 37 yard field goal,17,7
4,2.0,0:49,Bears,Robbie Gould 25 yard field goal,17,10
5,3.0,6:32,Packers,Mason Crosby 28 yard field goal,20,10
6,4.0,12:49,Packers,Jermichael Finley 10 yard pass from Aaron Rodgers (Mason Crosby kick),27,10
7,4.0,11:46,Bears,Kellen Davis 32 yard pass from Jay Cutler (Robbie Gould kick),27,17
