,Quarter,Time,Tm,Detail,DET,DAL
0,1.0,5:10,Cowboys,Dez Bryant 1 yard pass from Jon Kitna (David Buehler kick),0,7
1,2.0,14:50,Lions,Dave Rayner 47 yard field goal,3,7
2,2.0,0:17,Lions,Nate Burleson 9 yard pass from Shaun Hill (Dave Rayner kick),10,7
3,3.0,11:24,Lions,"Safety, Leonard Davis holding in the end zone.",12,7
4,3.0,9:16,Cowboys,Bryan McCann 97 yard punt return (David Buehler kick),12,14
5,3.0,6:33,Cowboys,Miles Austin 3 yard pass from Jon Kitna (David Buehler kick),12,21
6,3.0,4:10,Lions,Calvin Johnson 14 yard pass from Shaun Hill (Dave Rayner kick),19,21
7,4.0,11:15,Cowboys,Miles Austin 4 yard pass from Jon Kitna (David Buehler kick),19,28
8,4.0,3:17,Cowboys,Jon Kitna 29 yard rush (David Buehler kick),19,35
