,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Freddie Solomon 1 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,49ers,Paul Hofer 4 yard rush (Ray Wersching kick),0,14
2,1.0,49ers,Johnny Davis 1 yard rush (Ray Wersching kick),0,21
3,2.0,49ers,Ray Wersching 18 yard field goal,0,24
4,2.0,Cowboys,Tony Hill 22 yard pass from Drew Pearson (Rafael Septien kick),7,24
5,3.0,49ers,Dwight Clark 78 yard pass from Joe Montana (Ray Wersching kick),7,31
6,3.0,49ers,Ronnie Lott 41 yard interception return (Ray Wersching kick),7,38
7,4.0,49ers,Amos Lawrence 1 yard rush (Ray Wersching kick),7,45
8,4.0,Cowboys,Benny Barnes 72 yard defensive fumble return (Rafael Septien kick),14,45
