,Quarter,Time,Tm,Detail,GNB,SFO
0,1.0,13:07,49ers,Tevin Coleman 2 yard rush (Chase McLaughlin kick),0,7
1,1.0,3:17,49ers,Chase McLaughlin 29 yard field goal,0,10
2,2.0,2:59,49ers,Chase McLaughlin 27 yard field goal,0,13
3,2.0,1:05,49ers,Deebo Samuel 42 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),0,20
4,2.0,0:04,49ers,Chase McLaughlin 48 yard field goal,0,23
5,3.0,3:55,Packers,Davante Adams 2 yard pass from Aaron Rodgers (Davante Adams pass from Aaron Rodgers ),8,23
6,3.0,3:05,49ers,George Kittle 61 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),8,30
7,4.0,5:04,49ers,Raheem Mostert 15 yard rush (Chase McLaughlin kick),8,37
