,Quarter,Tm,Detail,MIA,NYJ
0,1,Dolphins,Pete Stoyanovich 23 yard field goal,3,0
1,2,Jets,Pat Leahy 24 yard field goal,3,3
2,3,Dolphins,Tony Paige 4 yard pass from Dan Marino (Pete Stoyanovich kick),10,3
3,4,Dolphins,Marc Logan 1 yard rush (Pete Stoyanovich kick),17,3
