,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Frank Corral 27 yard field goal,0,3
1,1.0,Rams,Billy Waddy 38 yard pass from Vince Ferragamo (Frank Corral kick),0,10
2,1.0,Rams,Billy Waddy 9 yard pass from Vince Ferragamo (Frank Corral kick),0,17
3,1.0,Rams,Elvis Peacock 59 yard pass from Vince Ferragamo (Frank Corral kick),0,24
4,2.0,Rams,Willie Miller 7 yard pass from Vince Ferragamo (Frank Corral kick),0,31
5,2.0,Saints,Jimmy Rogers 2 yard pass from Archie Manning (Benny Ricardo kick),7,31
6,3.0,Rams,Jeff Moore 19 yard pass from Vince Ferragamo (Frank Corral kick),7,38
7,3.0,Saints,Ike Harris 12 yard pass from Archie Manning (Benny Ricardo kick),14,38
8,3.0,Saints,Don Reese 34 yard defensive fumble return (Benny Ricardo kick),21,38
9,3.0,Saints,Benny Ricardo 36 yard field goal,24,38
10,4.0,Rams,Mike Guman 3 yard rush (Frank Corral kick),24,45
11,4.0,Saints,Henry Childs 3 yard pass from Archie Manning (Benny Ricardo kick),31,45
