,Quarter,Time,Tm,Detail,MIN,BAL
0,1.0,,Vikings,Gary Anderson 43 yard field goal,3,0
1,1.0,,Ravens,Corey Harris 95 yard kickoff return (Matt Stover kick),3,7
2,1.0,,Vikings,Gary Anderson 31 yard field goal,6,7
3,1.0,,Ravens,Patrick Johnson 97 yard kickoff return (Matt Stover kick),6,14
4,1.0,,Vikings,David Palmer 88 yard kickoff return (pass failed),12,14
5,2.0,,Vikings,Gary Anderson 45 yard field goal,15,14
6,2.0,,Vikings,Randy Moss 17 yard pass from Randall Cunningham (Gary Anderson kick),22,14
7,2.0,,Vikings,Gary Anderson 24 yard field goal,25,14
8,3.0,,Vikings,Gary Anderson 46 yard field goal,28,14
9,3.0,,Vikings,Cris Carter 11 yard pass from Randall Cunningham (Gary Anderson kick),35,14
10,4.0,,Ravens,Floyd Turner 42 yard pass from Jim Harbaugh,35,20
11,4.0,,Vikings,Gary Anderson 20 yard field goal,38,20
12,4.0,,Ravens,Priest Holmes 2 yard rush (Floyd Turner pass from Jim Harbaugh ),38,28
