,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Dolphins,Nat Moore 66 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,1.0,Jets,Mike Augustyniak 2 yard pass from Richard Todd (Pat Leahy kick),7,7
2,2.0,Dolphins,Kim Bokamper 24 yard interception return,13,7
3,2.0,Dolphins,Joe Rose 24 yard pass from Dan Marino (Uwe von Schamann kick),20,7
4,3.0,Dolphins,Uwe von Schamann 35 yard field goal,23,7
5,3.0,Dolphins,Dan Johnson 5 yard pass from Dan Marino (Uwe von Schamann kick),30,7
6,4.0,Jets,Mickey Shuler 9 yard pass from Pat Ryan (Pat Leahy kick),30,14
7,4.0,Dolphins,"Safety, Charles tackled Ryan in end zone",32,14
