,Quarter,Time,Tm,Detail,PHI,TAM
0,1.0,10:10,Buccaneers,Doug Brien 42 yard field goal,0,3
1,2.0,14:55,Buccaneers,Aaron Stecker 4 yard rush (Doug Brien kick),0,10
2,2.0,5:42,Eagles,David Akers 47 yard field goal,3,10
3,2.0,0:19,Buccaneers,Doug Brien 23 yard field goal,3,13
4,4.0,2:12,Eagles,Dameane Douglas 2 yard pass from A.J. Feeley (David Akers kick),10,13
5,4.0,1:46,Eagles,Dameane Douglas 24 yard pass from A.J. Feeley (David Akers kick),17,13
