,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,6:32,Chiefs,Jason Dunn 3 yard pass from Trent Green (Todd Peterson kick),0,7
1,1.0,3:41,Chargers,Freddie Jones 3 yard pass from Doug Flutie (Steve Christie kick),7,7
2,3.0,10:15,Chiefs,Todd Peterson 33 yard field goal,7,10
3,3.0,1:02,Chargers,Curtis Conway 4 yard pass from Doug Flutie (Steve Christie kick),14,10
4,4.0,13:25,Chiefs,Todd Peterson 41 yard field goal,14,13
5,4.0,5:01,Chargers,Steve Christie 27 yard field goal,17,13
6,4.0,0:48,Chiefs,Tony Richardson 1 yard rush (Todd Peterson kick),17,20
