,Quarter,Time,Tm,Detail,SFO,BUF
0,1.0,13:12,Bills,Steve Christie 24 yard field goal,0,3
1,1.0,2:17,Bills,Antowain Smith 6 yard rush (Steve Christie kick),0,10
2,2.0,14:52,Bills,Quinn Early 5 yard pass from Rob Johnson (Steve Christie kick),0,17
3,2.0,0:06,Bills,Steve Christie 19 yard field goal,0,20
4,3.0,3:46,Bills,Steve Christie 38 yard field goal,0,23
5,4.0,13:48,49ers,Marc Edwards 47 yard pass from Steve Young (Jerry Rice pass from Steve Young),8,23
6,4.0,9:49,Bills,Steve Christie 45 yard field goal,8,26
7,4.0,6:21,49ers,Irv Smith 9 yard pass from Steve Young (pass failed),14,26
8,4.0,1:09,49ers,J.J. Stokes 21 yard pass from Steve Young (Wade Richey kick),21,26
