,Quarter,Tm,Detail,CLE,WAS
0,2.0,Redskins,Jim Martin 12 yard field goal,0,3
1,2.0,Redskins,Charley Taylor 17 yard rush (Jim Martin kick),0,10
2,2.0,Browns,Gary Collins 23 yard pass from Frank Ryan,6,10
3,2.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),13,10
4,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),20,10
5,4.0,Redskins,Jim Martin 14 yard field goal,20,13
6,4.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),27,13
