,Quarter,Tm,Detail,RAI,KAN
0,1.0,Raiders,Jeff Jaeger 18 yard field goal,3,0
1,1.0,Raiders,"Safety, Dorn tackled Barnett in end zone",5,0
2,1.0,Raiders,Nick Bell 1 yard rush,11,0
3,2.0,Chiefs,Bill Jones 8 yard pass from Steve DeBerg (Nick Lowery kick),11,7
4,2.0,Raiders,Steve Smith 37 yard pass from Jay Schroeder (Jeff Jaeger kick),18,7
5,3.0,Chiefs,Nick Lowery 33 yard field goal,18,10
6,3.0,Raiders,Jeff Jaeger 22 yard field goal,21,10
7,4.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),21,17
8,4.0,Chiefs,Tim Barnett 6 yard pass from Steve DeBerg (Nick Lowery kick),21,24
