,Quarter,Time,Tm,Detail,SEA,WAS
0,1,5:58,Seahawks,Josh Brown 53 yard field goal,3,0
1,2,2:39,Redskins,Robert Royal 1 yard pass from Mark Brunell (Nick Novak kick),3,7
2,3,7:19,Redskins,Mike Sellers 4 yard pass from Mark Brunell (Nick Novak kick),3,14
3,3,4:10,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),10,14
4,3,0:03,Redskins,Nick Novak 40 yard field goal,10,17
5,4,1:23,Seahawks,Darrell Jackson 6 yard pass from Matt Hasselbeck (Josh Brown kick),17,17
6,OT,9:29,Redskins,Nick Novak 39 yard field goal,17,20
