,Quarter,Time,Tm,Detail,DAL,NYG
0,2.0,6:42,Giants,Pete Mitchell 1 yard pass from Kerry Collins (Brad Daluiso kick),0,7
1,3.0,11:09,Giants,Brad Daluiso 24 yard field goal,0,10
2,3.0,10:02,Cowboys,Robert Thomas 1 yard pass from Troy Aikman (Tim Seder kick),7,10
3,3.0,6:13,Giants,Brad Daluiso 20 yard field goal,7,13
4,3.0,1:19,Cowboys,Emmitt Smith 3 yard rush (Tim Seder kick),14,13
5,4.0,10:00,Giants,Ron Dayne 3 yard rush,14,19
