,Quarter,Time,Tm,Detail,MIA,DEN
0,1.0,11:15,Broncos,Ed McCaffrey 61 yard pass from Brian Griese (Jason Elam kick),0,7
1,2.0,8:54,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),7,7
2,2.0,3:02,Dolphins,Rob Konrad 6 yard pass from Dan Marino (Olindo Mare kick),14,7
3,2.0,0:07,Dolphins,Olindo Mare 37 yard field goal,17,7
4,3.0,10:02,Dolphins,J.J. Johnson 1 yard rush (Olindo Mare kick),24,7
5,3.0,3:42,Broncos,Ed McCaffrey 11 yard pass from Brian Griese (Jason Elam kick),24,14
6,4.0,9:31,Dolphins,O.J. McDuffie 4 yard pass from Dan Marino (Olindo Mare kick),31,14
7,4.0,3:56,Dolphins,Jason Taylor 4 yard defensive fumble return (Olindo Mare kick),38,14
8,4.0,0:34,Broncos,Ed McCaffrey 4 yard pass from Brian Griese (Jason Elam kick),38,21
