,Quarter,Time,Tm,Detail,CAR,LAR
0,1.0,3:44,Panthers,Greg Olsen 9 yard pass from Cam Newton (Graham Gano kick),7,0
1,4.0,11:12,Panthers,Graham Gano 38 yard field goal,10,0
2,4.0,8:01,Rams,Greg Zuerlein 25 yard field goal,10,3
3,4.0,3:18,Panthers,Graham Gano 37 yard field goal,13,3
4,4.0,0:34,Rams,Kenny Britt 10 yard pass from Case Keenum (Greg Zuerlein kick),13,10
