,Quarter,Time,Tm,Detail,MIN,OAK
0,1.0,14:11,Raiders,Phillip Buchanon 64 yard interception return (Sebastian Janikowski kick),0,7
1,2.0,11:24,Vikings,Aaron Elling 35 yard field goal,3,7
2,2.0,8:22,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),3,14
3,3.0,11:23,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),3,21
4,3.0,2:12,Vikings,Daunte Culpepper 11 yard rush (Aaron Elling kick),10,21
5,4.0,8:32,Vikings,Kelly Campbell 29 yard pass from Daunte Culpepper (Hunter Goodwin pass from Daunte Culpepper),18,21
6,4.0,2:16,Raiders,Zack Crockett 2 yard rush (Sebastian Janikowski kick),18,28
