,Quarter,Tm,Detail,NYJ,SEA
0,1.0,Jets,Pat Leahy 50 yard field goal,3,0
1,1.0,Seahawks,Daryl Turner 27 yard pass from Gale Gilbert (Norm Johnson kick),3,7
2,2.0,Jets,Al Toon 50 yard pass from Ken O'Brien (Pat Leahy kick),10,7
3,2.0,Jets,Wesley Walker 83 yard pass from Ken O'Brien (Pat Leahy kick),17,7
4,2.0,Jets,Freeman McNeil 9 yard rush (Pat Leahy kick),24,7
5,3.0,Jets,Al Toon 36 yard pass from Ken O'Brien (Pat Leahy kick),31,7
6,4.0,Jets,Mickey Shuler 1 yard pass from Ken O'Brien (Pat Leahy kick),38,7
