,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Tom Tracy 4 yard rush (Bob Khayat kick),7,0
1,1.0,Giants,Don Chandler 48 yard field goal,7,3
2,2.0,Giants,Dick Lynch 42 yard interception return (Don Chandler kick),7,10
3,2.0,Giants,Frank Gifford 8 yard pass from Y.A. Tittle (Don Chandler kick),7,17
4,2.0,Giants,Jim Katcavage 10 yard defensive fumble return,7,23
5,3.0,Giants,Joe Morrison 57 yard pass from Y.A. Tittle (Don Chandler kick),7,30
6,3.0,Giants,Sam Huff 36 yard interception return (Don Chandler kick),7,37
7,4.0,Giants,Frank Gifford 28 yard pass from Glynn Griffing (Don Chandler kick),7,44
8,4.0,Redskins,Bobby Mitchell 56 yard pass from George Izo (Bob Khayat kick),14,44
