,Quarter,Tm,Detail,NYG,MIN
0,1.0,Vikings,Fred Cox 23 yard field goal,0,3
1,1.0,Vikings,Nate Allen 28 yard blocked punt return (Fred Cox kick),0,10
2,2.0,Giants,Doug Kotar 3 yard rush (Joe Danelo kick),7,10
3,2.0,Vikings,Chuck Foreman 41 yard pass from Fran Tarkenton (Fred Cox kick),7,17
4,4.0,Vikings,Brent McClanahan 3 yard pass from Fran Tarkenton (Fred Cox kick),7,24
