,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Dick James 5 yard rush (John Aveni kick),0,7
1,1.0,Cowboys,Dick Bielski 27 yard field goal,3,7
2,3.0,Redskins,Dick James 3 yard rush (John Aveni kick),3,14
3,3.0,Cowboys,Frank Clarke 80 yard pass from Eddie LeBaron (Dick Bielski kick),10,14
4,3.0,Redskins,Dick James 1 yard pass from Norm Snead (John Aveni kick),10,21
5,3.0,Redskins,Dick James 39 yard rush (John Aveni kick),10,28
6,3.0,Cowboys,Frank Clarke 66 yard pass from Eddie LeBaron (Dick Bielski kick),17,28
7,4.0,Redskins,Norm Snead 1 yard rush,17,34
8,4.0,Cowboys,Billy Howton 11 yard pass from Eddie LeBaron (Dick Bielski kick),24,34
