,Quarter,Time,Tm,Detail,TAM,SEA
0,1.0,,Seahawks,Chris Warren 3 yard pass from Rick Mirer (John Kasay kick),0,7
1,2.0,,Seahawks,Jon Vaughn 5 yard pass from Rick Mirer (Rick Tuten run),0,15
2,2.0,,Buccaneers,Courtney Hawkins 2 yard pass from Craig Erickson (Michael Husted kick),7,15
3,3.0,,Buccaneers,Michael Husted 30 yard field goal,10,15
4,4.0,,Buccaneers,Courtney Hawkins 13 yard pass from Craig Erickson (Errict Rhett run),18,15
5,4.0,,Buccaneers,Michael Husted 35 yard field goal,21,15
6,4.0,,Seahawks,Mack Strong 7 yard rush (John Kasay kick),21,22
