,Quarter,Tm,Detail,RAM,DET
0,2,Rams,Jim Benton 11 yard pass from Jack Jacobs (Chet Adams kick),7,0
1,4,Rams,Ben Hightower 19 yard pass from Jack Jacobs (Chet Adams kick),14,0
