,Quarter,Tm,Detail,MIN,CHI
0,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),0,7
1,2.0,Bears,Bob Thomas 37 yard field goal,0,10
2,3.0,Vikings,Matt Blair 10 yard blocked punt return (Fred Cox kick),7,10
