,Quarter,Tm,Detail,NWE,BAL
0,2.0,Patriots,Russ Francis 5 yard pass from Steve Grogan (John Smith kick),7,0
1,2.0,Colts,Toni Linhart 28 yard field goal,7,3
2,2.0,Patriots,Steve Grogan 1 yard rush (John Smith kick),14,3
3,3.0,Patriots,Raymond Clayborn 101 yard kickoff return (John Smith kick),21,3
4,3.0,Colts,Glenn Doughty 14 yard pass from Bert Jones (Toni Linhart kick),21,10
5,3.0,Patriots,John Smith 30 yard field goal,24,10
6,3.0,Colts,Raymond Chester 78 yard pass from Bert Jones,24,16
7,4.0,Colts,Freddie Scott 12 yard pass from Bert Jones (Toni Linhart kick),24,23
8,4.0,Colts,Don McCauley 3 yard rush (Toni Linhart kick),24,30
