,Quarter,Time,Tm,Detail,BUF,NYG
0,1.0,12:45,Giants,Saquon Barkley 27 yard rush (Aldrick Rosas kick),0,7
1,1.0,3:49,Bills,Josh Allen 6 yard rush (Stephen Hauschka kick),7,7
2,2.0,13:30,Bills,Devin Singletary 14 yard rush (Stephen Hauschka kick),14,7
3,2.0,7:36,Bills,Isaiah McKenzie 14 yard pass from Josh Allen (Stephen Hauschka kick),21,7
4,4.0,12:03,Giants,T.J. Jones 4 yard pass from Eli Manning (Aldrick Rosas kick),21,14
5,4.0,5:56,Bills,Frank Gore 1 yard rush (Stephen Hauschka kick),28,14
