,Quarter,Tm,Detail,BAL,WAS
0,1.0,Redskins,Dale Atkeson 1 yard rush (Vic Janowicz kick),0,7
1,2.0,Redskins,Dale Atkeson 1 yard rush (Vic Janowicz kick),0,14
2,2.0,Colts,Buddy Young 9 yard rush (Gary Kerkorian kick),7,14
3,2.0,Redskins,Billy Wells 48 yard pass from Al Dorow (Vic Janowicz kick),7,21
4,3.0,Colts,Dan Edwards 22 yard pass from Gary Kerkorian (Gary Kerkorian kick),14,21
5,4.0,Redskins,Vic Janowicz 14 yard field goal,14,24
6,4.0,Colts,Zollie Toth 3 yard rush (Gary Kerkorian kick),21,24
