,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,10:51,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
1,1.0,4:21,49ers,Joe Nedney 28 yard field goal,7,3
2,2.0,9:42,Rams,Jeff Wilkins 49 yard field goal,10,3
3,4.0,10:22,Rams,Jeff Wilkins 35 yard field goal,13,3
4,4.0,6:07,49ers,Joe Nedney 38 yard field goal,13,6
5,4.0,1:51,49ers,Joe Nedney 46 yard field goal,13,9
