,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Roy Gerela 15 yard field goal,0,3
1,2.0,Bengals,Horst Muhlmann 17 yard field goal,3,3
2,2.0,Bengals,Horst Muhlmann 41 yard field goal,6,3
3,2.0,Steelers,Ron Shanklin 51 yard pass from Terry Hanratty (Roy Gerela kick),6,10
4,3.0,Steelers,Roy Gerela 18 yard field goal,6,13
5,3.0,Steelers,John Fuqua 1 yard rush (Roy Gerela kick),6,20
6,4.0,Bengals,Essex Johnson 16 yard pass from Ken Anderson (Horst Muhlmann kick),13,20
